,title,author,url,page_count,price,currently_reading_count,wanting_to_read_count,average_rating,amount_rating,publishing_year
107,If We Were Villains (Hardcover),M.L. Rio,/book/show/30319086-if-we-were-villains,354,Unlimited,25900.0,686000.0,4.15,307634,2017
108,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,/book/show/14061955-siege-and-storm,435,,28300.0,277000.0,3.81,631632,2013
109,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,/book/show/17675462-the-raven-boys,409,,11800.0,511000.0,4.05,377777,2012
110,"Consider Me (Playing For Keeps, #1)",Becka Mack,/book/show/60040033-consider-me,462,,15900.0,181000.0,3.94,137703,2022
111,Gone Girl (Paperback),Gillian Flynn,/book/show/19288043-gone-girl,415,12.99,52100.0,1000000.0,4.14,3183457,2012
112,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,/book/show/10818853-fifty-shades-of-grey,356,,52200.0,721000.0,3.66,2681683,2011
113,One Hundred Years of Solitude (Mass Market Paperback),Gabriel García Márquez,/book/show/320.One_Hundred_Years_of_Solitude,417,9.99,60500.0,1000000.0,4.12,999043,1967
114,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,/book/show/186074.The_Name_of_the_Wind,662,,44600.0,,4.52,992734,2007
115,"Legendborn (The Legendborn Cycle, #1)",Tracy Deonn,/book/show/50892338-legendborn,502,,11600.0,409000.0,4.34,147577,2020
116,The Guest List (Kindle Edition),Lucy Foley,/book/show/52656911-the-guest-list,319,2.99,56700.0,868000.0,3.81,1079770,2020
117,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,/book/show/36336078-call-me-by-your-name,248,,32000.0,472000.0,4.1,522879,2007
118,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,/book/show/196864520-butcher-blackbird,360,8.99,25600.0,400000.0,4.08,297369,2023
119,"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,/book/show/26114463-nevernight,427,,9117.0,248000.0,4.22,102165,2016
120,"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,/book/show/58527403-magnolia-parks,423,10.99,16100.000000000002,334000.0,3.73,158113,2021
121,Punk 57 (Kindle Edition),Penelope Douglas,/book/show/41021967-punk-57,343,Unlimited,24700.0,402000.0,3.77,446210,2016
122,The Ten Thousand Doors of January (Hardcover),Alix E. Harrow,/book/show/43521657-the-ten-thousand-doors-of-january,374,9.99,13000.0,310000.0,4.02,146248,2019
123,On Earth We're Briefly Gorgeous (Hardcover),Ocean Vuong,/book/show/41880609-on-earth-we-re-briefly-gorgeous,246,12.99,36400.0,623000.0,4.04,325198,2019
124,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,/book/show/55987278-once-upon-a-broken-heart,408,,21000.0,723000.0,4.06,388936,2021
125,The Flatshare (Hardcover),Beth O'Leary,/book/show/36478784-the-flatshare,394,11.99,13700.0,369000.0,4.0,408079,2019
126,Untamed (Hardcover),Glennon Doyle,/book/show/52129515-untamed,333,14.99,48300.0,401000.0,3.99,462286,2020
127,It (Paperback),Stephen         King,/book/show/830502.It,1116,12.99,63000.0,838000.0,4.24,1150021,1986
128,"Blood & Honey (Serpent & Dove, #2)",Shelby Mahurin,/book/show/40550366-blood-honey,536,,13700.0,160000.0,3.52,124522,2020
129,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,/book/show/53138095-a-court-of-silver-flames,757,,85100.0,678000.0,4.47,1395127,2021
130,"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,/book/show/59050133-hunting-adeline,649,,37800.0,219000.0,4.1,382759,2022
131,"Twisted Games (Twisted, #2)",Ana Huang,/book/show/56653002-twisted-games,456,,3976.0,26500.0,4.1,729715,2021
132,Ugly Love (Kindle Edition),Colleen Hoover,/book/show/17788401-ugly-love,330,11.99,49600.0,991000.0,4.03,1986646,2014
133,Mexican Gothic (Hardcover),Silvia Moreno-Garcia,/book/show/53152636-mexican-gothic,320,8.99,20100.0,513000.0,3.67,376855,2020
134,The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,/book/show/44074800-the-southern-book-club-s-guide-to-slaying-vampires,410,9.99,12100.0,295000.0,3.8,238045,2020
135,A Man Called Ove (Hardcover),Fredrik Backman,/book/show/18774964-a-man-called-ove,337,Unlimited,46700.0,687000.0,4.38,1076525,2012
136,Dracula (Paperback),Bram Stoker,/book/show/17245.Dracula,488,0.99,74200.0,941000.0,4.02,1310671,1897
137,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,/book/show/41865.Twilight,498,,52600.0,1000000.0,3.66,6756499,2005
138,"Mile High (Windy City, #1)",Liz Tomforde,/book/show/60909831-mile-high,603,,21500.0,275000.0,4.09,273173,2022
139,"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,/book/show/60784546-divine-rivals,357,,37400.0,757000.0,4.19,505330,2023
140,"Corrupt (Devil's Night, #1)",Penelope Douglas,/book/show/58124274-corrupt,516,,26600.0,276000.0,3.8,302121,2015
141,"The Maid (Molly the Maid, #1)",Nita Prose,/book/show/55196813-the-maid,304,,441.0,29800.0,3.77,594766,2022
142,"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,/book/show/40024139-serpent-dove,513,,14100.0,432000.0,3.99,311908,2019
143,Girl in Pieces (Hardcover),Kathleen Glasgow,/book/show/29236380-girl-in-pieces,416,8.99,32100.0,388000.0,3.96,211267,2016
144,The Final Girl Support Group (Hardcover),Grady Hendrix,/book/show/55829194-the-final-girl-support-group,352,13.99,7490.0,294000.0,3.52,148610,2021
145,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,/book/show/60114057-the-american-roommate-experiment,400,11.99,12900.0,306000.0,3.81,229710,2022
146,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,/book/show/52735921-kingdom-of-the-wicked,372,,12500.0,547000.0,3.88,301378,2020
147,Under the Whispering Door (Hardcover),T.J. Klune,/book/show/53205888-under-the-whispering-door,376,12.99,15000.0,359000.0,4.15,251960,2021
148,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,/book/show/10194157-shadow-and-bone,358,,36700.0,889000.0,3.93,993565,2012
149,"Crave (Crave, #1)",Tracy Wolff,/book/show/45892228-crave,575,,696.0,8769.0,3.78,213305,2020
150,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,/book/show/43884209-get-a-life-chloe-brown,373,,7910.0,273000.0,3.8,191727,2019
151,"Book of Night (Book of Night, #1)",Holly Black,/book/show/58293924-book-of-night,304,12.99,6843.0,239000.0,3.54,71934,2022
152,Lore (Hardcover),Alexandra Bracken,/book/show/53375824-lore,480,Unlimited,9631.0,248000.0,3.75,97076,2021
153,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,/book/show/5907.The_Hobbit,366,Unlimited,98200.0,1000000.0,4.29,4113153,1937
154,Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,/book/show/23692271-sapiens,512,,186000.0,,4.36,1083384,2011
155,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,/book/show/29588376-the-lies-of-locke-lamora,752,,20400.0,405000.0,4.31,306496,2006
156,Project Hail Mary (Hardcover),Andy Weir,/book/show/54493401-project-hail-mary,476,14.99,42400.0,621000.0,4.51,645038,2021
157,"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,/book/show/36492488-we-hunt-the-flame,472,,9068.0,325000.0,3.89,98385,2019
158,"Beartown (Beartown, #1)",Fredrik Backman,/book/show/33413128-beartown,432,,29600.0,474000.0,4.29,471392,2016
159,My Year of Rest and Relaxation (Paperback),Ottessa Moshfegh,/book/show/44279110-my-year-of-rest-and-relaxation,289,14.99,23100.0,492000.0,3.63,442424,2018
